GRANTMAKER,RECIPIENT,value,interlock
GLEASON FAMILY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,2171998.7482261,False
GROVER HERMANN FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
HERRICK FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
HERTOG FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
HOWARD CHARITABLE FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
J. P. HUMPHREYS FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
J.M. KAPLAN FUND,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
JAQUELIN HUME FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,469077.4819,False
JEAN PERKINS FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
JOHN TEMPLETON FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
JOHN WILLIAM POPE FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
KERN FAMILY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
KORET FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
KOVNER FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
KRIEBLE FOUNDATION THE,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
LAKESIDE FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,1220193.278688,False
"LILLIAN S. WELLS FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
LILLY ENDOWMENT INC.,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,590695.30425,False
M.J. MURDOCK CHARITABLE TRUST,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
MALONE FAMILY FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
"MARCUS FOUNDATION, INC. The",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
MERCER FAMILY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ORANGE CRIMSON FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
PROMETHEUS FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ROBERTS FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ROE FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,292499.60881,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SAN FRANCISCO FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SCAIFE FAMILY FOUNDATIONS,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SEARLE FREEDOM TRUST,TEXAS PUBLIC POLICY FOUNDATION,1027322.29324,False
SILICON VALLEY COMMUNITY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SMITH RICHARDSON FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SORENSON LEGACY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
STARR FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
SUSQUEHANNA FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
THOMAS W SMITH FOUNDATION INC,TEXAS PUBLIC POLICY FOUNDATION,103896.1039,False
"TRIAD FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
TULLY AND ELISE FRIEDMAN FUND,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
WALTON FAMILY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,236161.00213,False
WESTROCK FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
WILLIAM H. DONNER FOUNDATION The,TEXAS PUBLIC POLICY FOUNDATION,133046.828376,False
"WILLIAM K. BOWES, JR. FOUNDATION",TEXAS PUBLIC POLICY FOUNDATION,0.0,False
ADOLPH COORS FOUNDATION,WASHINGTON POLICY CENTER,107819.85575,False
AMBROSE MONELL FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
ANNENBERG FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
ANSCHUTZ FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
ARMSTRONG FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
BILL AND MELINDA GATES FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
BODMAN FOUNDATIONS,WASHINGTON POLICY CENTER,0.0,False
BRADLEY IMPACT FUND,WASHINGTON POLICY CENTER,0.0,False
"BRADY EDUCATION FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,WASHINGTON POLICY CENTER,5673.758865,False
CHASE FOUNDATION OF VIRGINIA,WASHINGTON POLICY CENTER,0.0,False
CLAWS FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
"COVENANT FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
DANIELS FUND,WASHINGTON POLICY CENTER,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
DAVIS FAMILY FOUNDATIONS,WASHINGTON POLICY CENTER,0.0,False
DEVOS FAMILY FOUNDATIONS,WASHINGTON POLICY CENTER,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,WASHINGTON POLICY CENTER,1023936.3554951,False
DUNN FOUNDATION THE,WASHINGTON POLICY CENTER,0.0,False
E. L. CRAIG FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
ED UIHLEIN FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
EWING MARION KAUFFMAN FOUNDATION,WASHINGTON POLICY CENTER,5673.758865,False
EXXONMOBIL FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
"F. M. KIRBY FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
FRED MAYTAG FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
"GALASHIELS FUND, LTD",WASHINGTON POLICY CENTER,0.0,False
GLEASON FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
GROVER HERMANN FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
HERRICK FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
HERTOG FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
HOWARD CHARITABLE FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
J. P. HUMPHREYS FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
J.M. KAPLAN FUND,WASHINGTON POLICY CENTER,0.0,False
JAQUELIN HUME FOUNDATION,WASHINGTON POLICY CENTER,147946.34196,False
JEAN PERKINS FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
JOHN TEMPLETON FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
JOHN WILLIAM POPE FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
KERN FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
KORET FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
KOVNER FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
KRIEBLE FOUNDATION THE,WASHINGTON POLICY CENTER,0.0,False
LAKESIDE FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,WASHINGTON POLICY CENTER,27972.02797,False
"LILLIAN S. WELLS FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
LILLY ENDOWMENT INC.,WASHINGTON POLICY CENTER,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
M.J. MURDOCK CHARITABLE TRUST,WASHINGTON POLICY CENTER,1414410.3554,False
MALONE FAMILY FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
"MARCUS FOUNDATION, INC. The",WASHINGTON POLICY CENTER,0.0,False
MERCER FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",WASHINGTON POLICY CENTER,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
ORANGE CRIMSON FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
PROMETHEUS FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,WASHINGTON POLICY CENTER,77703.573472,False
ROBERT AND ARDIS JAMES FOUNDATION INC,WASHINGTON POLICY CENTER,0.0,False
ROBERTS FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
ROE FOUNDATION The,WASHINGTON POLICY CENTER,337699.50152,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",WASHINGTON POLICY CENTER,0.0,False
SAN FRANCISCO FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
SCAIFE FAMILY FOUNDATIONS,WASHINGTON POLICY CENTER,0.0,False
SEARLE FREEDOM TRUST,WASHINGTON POLICY CENTER,17021.2766,False
SILICON VALLEY COMMUNITY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
SMITH RICHARDSON FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
SORENSON LEGACY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
STARR FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
SUSQUEHANNA FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
THOMAS W SMITH FOUNDATION INC,WASHINGTON POLICY CENTER,0.0,False
"TRIAD FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
TULLY AND ELISE FRIEDMAN FUND,WASHINGTON POLICY CENTER,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
WALTON FAMILY FOUNDATION,WASHINGTON POLICY CENTER,0.0,False
WESTROCK FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",WASHINGTON POLICY CENTER,0.0,False
WILLIAM H. DONNER FOUNDATION The,WASHINGTON POLICY CENTER,0.0,False
"WILLIAM K. BOWES, JR. FOUNDATION",WASHINGTON POLICY CENTER,0.0,False
ADOLPH COORS FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,21768.70748,False
AMBROSE MONELL FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ANNENBERG FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ANSCHUTZ FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ARMSTRONG FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
BILL AND MELINDA GATES FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
BODMAN FOUNDATIONS,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
BRADLEY IMPACT FUND,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"BRADY EDUCATION FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
CHASE FOUNDATION OF VIRGINIA,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
CLAWS FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"COVENANT FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
DANIELS FUND,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
DAVIS FAMILY FOUNDATIONS,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
DEVOS FAMILY FOUNDATIONS,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,YANKEE INSTITUTE FOR PUBLIC POLICY,4278865.7039099,False
DUNN FOUNDATION THE,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
E. L. CRAIG FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ED UIHLEIN FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
EWING MARION KAUFFMAN FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
EXXONMOBIL FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"F. M. KIRBY FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
FRED MAYTAG FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"GALASHIELS FUND, LTD",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
GLEASON FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
GROVER HERMANN FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
HERRICK FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
HERTOG FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
HOWARD CHARITABLE FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
J. P. HUMPHREYS FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
J.M. KAPLAN FUND,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
JAQUELIN HUME FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,230585.14267,False
JEAN PERKINS FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
JOHN TEMPLETON FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
JOHN WILLIAM POPE FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
KERN FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
KORET FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
KOVNER FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
KRIEBLE FOUNDATION THE,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
LAKESIDE FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
LILLY ENDOWMENT INC.,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
M.J. MURDOCK CHARITABLE TRUST,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
MALONE FAMILY FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"MARCUS FOUNDATION, INC. The",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
MERCER FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ORANGE CRIMSON FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
PROMETHEUS FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,YANKEE INSTITUTE FOR PUBLIC POLICY,453665.8132133,False
ROBERTS FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ROE FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,297278.76082,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SAN FRANCISCO FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SCAIFE FAMILY FOUNDATIONS,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SEARLE FREEDOM TRUST,YANKEE INSTITUTE FOR PUBLIC POLICY,103896.1039,False
SILICON VALLEY COMMUNITY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SMITH RICHARDSON FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SORENSON LEGACY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
STARR FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
SUSQUEHANNA FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
THOMAS W SMITH FOUNDATION INC,YANKEE INSTITUTE FOR PUBLIC POLICY,96672.85096,False
"TRIAD FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
TULLY AND ELISE FRIEDMAN FUND,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
WALTON FAMILY FOUNDATION,YANKEE INSTITUTE FOR PUBLIC POLICY,23636.36364,False
WESTROCK FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
WILLIAM H. DONNER FOUNDATION The,YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
"WILLIAM K. BOWES, JR. FOUNDATION",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,False
ADOLPH COORS FOUNDATION,YOUNG AMERICA'S FOUNDATION,139653.92073,False
AMBROSE MONELL FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
ANNENBERG FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
ANSCHUTZ FOUNDATION The,YOUNG AMERICA'S FOUNDATION,57866.004010000004,False
ARMSTRONG FOUNDATION,YOUNG AMERICA'S FOUNDATION,150688.332336,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
BILL AND MELINDA GATES FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
BODMAN FOUNDATIONS,YOUNG AMERICA'S FOUNDATION,0.0,False
BRADLEY IMPACT FUND,YOUNG AMERICA'S FOUNDATION,83966.60941,False
"BRADY EDUCATION FOUNDATION, INC.",YOUNG AMERICA'S FOUNDATION,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,YOUNG AMERICA'S FOUNDATION,17894.976924,False
CHASE FOUNDATION OF VIRGINIA,YOUNG AMERICA'S FOUNDATION,61398.15067,False
CLAWS FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
"COVENANT FOUNDATION, INC.",YOUNG AMERICA'S FOUNDATION,0.0,False
DANIELS FUND,YOUNG AMERICA'S FOUNDATION,238213.66463,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
DAVIS FAMILY FOUNDATIONS,YOUNG AMERICA'S FOUNDATION,61713.539453000005,False
DEVOS FAMILY FOUNDATIONS,YOUNG AMERICA'S FOUNDATION,18061386.577204,False
DONORS TRUST & DONORS CAPITAL FUND,YOUNG AMERICA'S FOUNDATION,1937758.4896108,False
DUNN FOUNDATION THE,YOUNG AMERICA'S FOUNDATION,0.0,False
E. L. CRAIG FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
ED UIHLEIN FAMILY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
EWING MARION KAUFFMAN FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
EXXONMOBIL FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
"F. M. KIRBY FOUNDATION, INC.",YOUNG AMERICA'S FOUNDATION,1714550.01915,False
FRED MAYTAG FAMILY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,YOUNG AMERICA'S FOUNDATION,1043204.47085,False
"GALASHIELS FUND, LTD",YOUNG AMERICA'S FOUNDATION,0.0,False
GLEASON FAMILY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,YOUNG AMERICA'S FOUNDATION,39551.0616425,False
GROVER HERMANN FOUNDATION The,YOUNG AMERICA'S FOUNDATION,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,YOUNG AMERICA'S FOUNDATION,0.0,False
HERRICK FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
HERTOG FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
HOWARD CHARITABLE FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
J. P. HUMPHREYS FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
J.M. KAPLAN FUND,YOUNG AMERICA'S FOUNDATION,0.0,False
JAQUELIN HUME FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
JEAN PERKINS FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
JOHN TEMPLETON FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
JOHN WILLIAM POPE FOUNDATION,YOUNG AMERICA'S FOUNDATION,153594.194194,False
KERN FAMILY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
KORET FOUNDATION,YOUNG AMERICA'S FOUNDATION,4665.713565,False
KOVNER FOUNDATION The,YOUNG AMERICA'S FOUNDATION,0.0,False
KRIEBLE FOUNDATION THE,YOUNG AMERICA'S FOUNDATION,0.0,False
LAKESIDE FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",YOUNG AMERICA'S FOUNDATION,78787.87879,False
LILLY ENDOWMENT INC.,YOUNG AMERICA'S FOUNDATION,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,YOUNG AMERICA'S FOUNDATION,1308123.633281,False
M.J. MURDOCK CHARITABLE TRUST,YOUNG AMERICA'S FOUNDATION,0.0,False
MALONE FAMILY FOUNDATION The,YOUNG AMERICA'S FOUNDATION,0.0,False
"MARCUS FOUNDATION, INC. The",YOUNG AMERICA'S FOUNDATION,0.0,False
MERCER FAMILY FOUNDATION,YOUNG AMERICA'S FOUNDATION,1435318.28499,False
"NOBLE RESEARCH INSTITUTE, LLC",YOUNG AMERICA'S FOUNDATION,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
ORANGE CRIMSON FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
PROMETHEUS FOUNDATION,YOUNG AMERICA'S FOUNDATION,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,YOUNG AMERICA'S FOUNDATION,2065205.68027,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,YOUNG AMERICA'S FOUNDATION,13754.723096,False
ROBERT AND ARDIS JAMES FOUNDATION INC,YOUNG AMERICA'S FOUNDATION,1088.435374,False
