sic_code,sole_focus,id,ntee_code,ruling_year,ein,organization_type,state,combined_name,denial,peripheral_focus,naics_code,address,org,substantive_focus,delay,org_level_1,org_level_2,num_docs
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3497,Research Institutes and/or Public Policy Analysis (B05)/ Research Institutes and/or Public Policy Analysis (R05)/ Research Institutes and/or Public Policy Analysis (W05),1987.0,75-2158093,501(c)(3),TX,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1320 Greenway Drive Ste 820 / Irving, TX 75038 USA/                             Mr. Tom  Giovanetti                           /                                 Primary Contact Phone: (972) 874-5121                              / tomg@ipi.org/ President/ www.ipi.org/                                 Main Office Phone: (972) 874-5139",INSTITUTE FOR POLICY INNOVATION,1.0,1.0,INSTITUTE FOR POLICY INNOVATION,INSTITUTE FOR POLICY INNOVATION,3355.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,1747,Promotion of Business (Chambers of Commerce) (S41),1946.0,73-0529079,501(c)(6),DC,,0.0,0.0,813910 Business Associations,"20 F St NW Ste 450  / Washington, DC 20001 / WWW.INGAA.ORG",INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA,1.0,1.0,INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA,INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA,366.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,822,Research Institutes and/or Public Policy Analysis (B05),2004.0,16-1686283,501(c)(3),NC,,1.0,1.0,541720 Research and Development in the Social Sciences and Humanities,"353 E Six Forks Rd Ste 200 / Raleigh, NC 27609 USA/                             Dr. Jenna A Robinson                           /                                 Primary Contact Phone: (919) 828-1400                              / jarobinson@jamesgmartin.center/ President/ www.jamesgmartin.center/                                 Main Office Phone: (919) 828-1400                              / 353 E Six Forks Rd Ste 200 / Raleigh, NC 27609 / 353 E Six Forks Rd Ste 200 / Raleigh, NC 27609",JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,0.0,1.0,JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2778,Research Institutes and/or Public Policy Analysis (W05),1987.0,59-2811908,501(c)(3),FL,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"PO Box 10150  / Tallahassee, FL 32302 / JAMESMADISON.ORG",JAMES MADISON INSTITUTE,1.0,1.0,JAMES MADISON INSTITUTE,JAMES MADISON INSTITUTE,2024.0
"6732 TRUSTS: EDUCATIONAL, RELIGIOUS, ETC.",False,3861,Private Grantmaking Foundations (T20),1990.0,56-1656943,501(c)(3),AN,,1.0,0.0,813211 Grantmaking Foundations,"200 W. MORGAN ST. 200 / RALEIGH, NC 27601 USA/ / WWW.JOHNLOCKE.ORG/                                 Main Office Phone: (919) 828-3876                              / 200 W. MORGAN ST. 200 / RALEIGH,  27601",JOHN LOCKE FOUNDATION,1.0,1.0,JOHN LOCKE FOUNDATION,JOHN LOCKE FOUNDATION,5517.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2217,Political Science (V24),2018.0,22-3235650,501(c)(3),NH,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"PO Box 897  / Concord, NH 03302 / www.jbartlett.org",JOSIAH BARTLETT CENTER FOR PUBLIC POLICY,1.0,1.0,JOSIAH BARTLETT CENTER FOR PUBLIC POLICY,JOSIAH BARTLETT CENTER FOR PUBLIC POLICY,566.0
"8399 Social Services, NEC",False,3511,Nonmonetary Support N.E.C. (W19),1995.0,52-1885088,501(c)(3),DC,,0.0,1.0,813219 Other Grantmaking and Giving Services,"425 Third St, SW Ste 800 / Washington, DC 20024 USA/                              Steve  Andersen                           /                                 Primary Contact Phone: (202) 646-5172                              / info@judicialwatch.org/ Director of Development/ www.judicialwatch.org/                                 Main Office Phone: (202) 646-5172",JUDICIAL WATCH,0.0,1.0,JUDICIAL WATCH,JUDICIAL WATCH,5090.0
,False,2788,"Media, Communications Organizations (A30)",2007.0,20-8725168,501(c)(3),NJ,,1.0,0.0,51 Information,"184 Columbia Tpke Ste 281 / Florham Park, NJ 07932 /                             Mr. Stephen  Cardone                           /                                 Primary Contact Phone: (800) 5267241                              / steve@justfacts.com/ Vice President/ www.justfacts.com",JUST FACTS FOUNDATION,1.0,1.0,JUST FACTS FOUNDATION,JUST FACTS FOUNDATION,204.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2272,Promotion of Business (Chambers of Commerce) (S41),2007.0,26-0750621,501(c)(6),KS,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,1.0,0.0,813910 Business Associations,"PO Box 757  / Wichita, KS 67201 / WWW.KANSASSTRONG.COM/KOGRF",KANSAS OIL AND GAS RESOURCES FUND,1.0,1.0,KANSAS OIL AND GAS RESOURCES FUND,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,37.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",True,2922,Alliance/Advocacy Organizations (S01),1939.0,48-0289485,501(c)(6),KS,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,1.0,0.0,813319 Other Social Advocacy Organizations,"229 E William St Ste 211  / Wichita, KS 67202 / KIOGA.ORG",KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,1.0,1.0,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,221.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3185,Research Institutes and/or Public Policy Analysis (R05),1998.0,54-1880642,501(c)(3),VA,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1600 Wilson Blvd Ste 203  / Arlington, VA 22209 / WWW.LEXINGTONINSTITUTE.ORG",LEXINGTON INSTITUTE,1.0,1.0,LEXINGTON INSTITUTE,LEXINGTON INSTITUTE,5049.0
,False,487,,,83-2869616,501(c)(3),,,1.0,0.0,,,LIBERTARIAN INSTITUTE THE,1.0,1.0,LIBERTARIAN INSTITUTE THE,LIBERTARIAN INSTITUTE THE,694.0
"6732 TRUSTS: EDUCATIONAL, RELIGIOUS, ETC.",False,455,Private Operating Foundations (T23)/ Named Trusts/Foundations N.E.C. (T90)/ Education N.E.C. (B99),1962.0,35-1320021,501(c)(3),IN,,1.0,1.0,813211 Grantmaking Foundations,"11301 N Meridian  / Carmel, IN 46032 USA/                              Emilio  Pacheco                           /                                 Primary Contact Phone: (317) 8420880                              / epacheco@libertyfund.org/ President & CEO/ www.libertyfund.org/                                 Main Office Phone: (317) 842-0880                              / 11301 N Meridian  / Carmel, IN 46032 / 11301 N Meridian  / Carmel, IN 46032",LIBERTY FUND,0.0,1.0,LIBERTY FUND,LIBERTY FUND,1307.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2326,Promotion of Business (Chambers of Commerce) (S41),1974.0,45-0321174,501(c)(6),ND,,0.0,0.0,813910 Business Associations,"1016 E Owens Ave  Bismarck ND 58501-1900/ Bismarck, ND 58501 / WWW.LIGNITE.COM",LIGNITE ENERGY COUNCIL,1.0,1.0,LIGNITE ENERGY COUNCIL,LIGNITE ENERGY COUNCIL,277.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,127,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",1993.0,25-1704705,501(c)(3),PA,,0.0,1.0,813410 Civic and Social Organizations,"5405 Jonestown Rd Ste 110  / Harrisburg, PA 17112 / WWW.LINCOLNINSTITUTE.ORG",LINCOLN INSTITUTION OF PUBLIC OPINION RESEARCH,0.0,1.0,LINCOLN INSTITUTION OF PUBLIC OPINION RESEARCH,LINCOLN INSTITUTION OF PUBLIC OPINION RESEARCH,1364.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,1162,"Public Finance, Taxation, Monetary Policy (W22)",2008.0,26-2639114,501(c)(3),WI,,1.0,1.0,813410 Civic and Social Organizations,"10 E Doty St Ste 800  / Madison, WI 53703 / WWW.MACIVERINSTITUTE.COM",MACIVER INSTITUTE FOR PUBLIC POLICY,0.0,1.0,MACIVER INSTITUTE FOR PUBLIC POLICY,MACIVER INSTITUTE FOR PUBLIC POLICY,4807.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,8,Research Institutes and/or Public Policy Analysis (W05),1988.0,38-2701547,501(c)(3),MI,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"140 West Main Street, P.O. Box 568  / Midland, MI 48640-0568 USA/                             Mr. Joseph G Lehman                           /                                 Primary Contact Phone: (989) 631-0900                              / lehman@mackinac.org/ President/ www.mackinac.org/                                 Main Office Phone: (989) 631-0900                              / 140 West Main Street  / Midland, MI 48640 / 140 West Main Street, P.O. Box 568  / Midland, MI 48640-0568",MACKINAC CENTER FOR PUBLIC POLICY,1.0,1.0,MACKINAC CENTER FOR PUBLIC POLICY,MACKINAC CENTER FOR PUBLIC POLICY,12874.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3370,Government and Public Administration (W20),1977.0,13-2912529,501(c)(3),NY,,1.0,0.0,813410 Civic and Social Organizations,"52 Vanderbilt Ave  New York NY 10017-3808/ New York, NY 10017 / MANHATTAN-INSTITUTE.ORG",MANHATTAN INSTITUTE FOR POLICY RESEARCH,1.0,1.0,MANHATTAN INSTITUTE FOR POLICY RESEARCH,MANHATTAN INSTITUTE FOR POLICY RESEARCH,10288.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1157,Research Institutes and/or Public Policy Analysis (A05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (W05),1988.0,54-1429009,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1900 Campus Commons Drive Suite 600 / Reston, VA 20191 USA/                             Mr. Coley  Jackson                           /                                 Primary Contact Phone: (571) 267-3500                              / cjackson@mrc.org/ Vice President of Development/ https://www.mrc.org//                                 Main Office Phone: (571) 267-3500                              / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191",MEDIA RESEARCH CENTER,1.0,1.0,MEDIA RESEARCH CENTER,MEDIA RESEARCH CENTER,4032.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1401,Economics (as a Social Science) (V22),1988.0,54-1436224,501(c)(3),VA,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"3434 Washington Blvd 4th Floor / Arlington, VA 22201 USA/                             Mr. Gary  Leff                           /                                 Primary Contact Phone: (703) 993-4930                              / gleff@mercatus.gmu.edu/ Chief Financial Officer/ http://www.mercatus.org/                                 Main Office Phone: (703) 993-4930                              / 3301 N Fairfax Dr Suite 450  / Arlington, VA 22201",MERCATUS CENTER GEORGE MASON UNIVERSITY,1.0,1.0,MERCATUS CENTER GEORGE MASON UNIVERSITY,MERCATUS CENTER GEORGE MASON UNIVERSITY,3706.0
,False,726,,,88-0359303,501(c)(6),,,0.0,0.0,,,NATIONAL ASSOCIATION OF HOMEBUILDERS,1.0,1.0,NATIONAL ASSOCIATION OF HOMEBUILDERS,NATIONAL ASSOCIATION OF HOMEBUILDERS,1032.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",False,587,Alliance/Advocacy Organizations (J01),1938.0,13-1084330,501(c)(6),DC,,0.0,0.0,813319 Other Social Advocacy Organizations,"733 10th St NW Ste 700  / Washington, DC 20001 / WWW.NAM.ORG",NATIONAL ASSOCIATION OF MANUFACTURERS,1.0,1.0,NATIONAL ASSOCIATION OF MANUFACTURERS,NATIONAL ASSOCIATION OF MANUFACTURERS,1991.0
8221 Colleges and Universities,False,1036,Higher Education Institutions (B40),1991.0,11-2741490,501(c)(3),NY,,1.0,0.0,"611310 Colleges, Universities, and Professional Schools","420 Madison Ave. 7th Floor / New York, NY 10017 USA/                             Mr. Chance  Layton                           /                                 Primary Contact Phone: (917) 551-6770                              / layton@nas.org/ Communication Coordinator/ www.nas.org/                                 Main Office Phone: (917) 551-6770                              / 420 Madison Ave. 7th Floor / New York, NY 10017 / 420 Madison Ave. 7th Floor / New York, NY 10017 / 420 Madison Ave 7th Floor/ New York  10017/ International Tel:",NATIONAL ASSOCIATION OF SCHOLARS,1.0,1.0,NATIONAL ASSOCIATION OF SCHOLARS,NATIONAL ASSOCIATION OF SCHOLARS,1793.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1750,Research Institutes and/or Public Policy Analysis (W05),1988.0,52-1226614,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"20 F St NW Ste 700  / Washington, DC 20001 / WWW.NATIONALCENTER.ORG",NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,1.0,1.0,NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,8490.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,2332,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public Interest Law/Litigation (I83)/ Labor Studies (V37)",1992.0,52-1750188,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"107 Park Washington Ct  / Falls Church, VA 22046 /                             Mr. Peter  Flaherty                           /                                 Primary Contact Phone: (703) 2371970                              / pflaherty@nlpc.org/ President/ http://www.nlpc.org",NATIONAL LEGAL & POLICY CENTER,1.0,1.0,NATIONAL LEGAL & POLICY CENTER,NATIONAL LEGAL & POLICY CENTER,5158.0
8621 Professional Organizations,False,3700,"Professional Societies, Associations (U03)",1997.0,52-1916480,501(c)(6),DC,,0.0,0.0,813920 Professional Organizations,"101 Constitution Ave NW Ste 500e  / Washington, DC 20001 / WWW.NMA.ORG",NATIONAL MINING ASSOCIATION,1.0,1.0,NATIONAL MINING ASSOCIATION,NATIONAL MINING ASSOCIATION,2457.0
,False,2731,Unknown (Z99),1992.0,13-3649537,501(c)(3),NY,,1.0,0.0,,"19 W 44TH ST STE 1701  / NEW YORK, NY 10036 USA/                              Lindsay  Craig                           /                                 Primary Contact Phone: (212) 849-2820                              / lcraig@nrinstitute.org/ President/ http://nrinstitute.org/                                 Main Office Phone: (212) 849-2806                              / 19 W 44TH ST STE 1701  / NEW YORK, NY 10036",NATIONAL REVIEW INSTITUTE,1.0,1.0,NATIONAL REVIEW INSTITUTE,NATIONAL REVIEW INSTITUTE,45531.0
,True,1534,Public Utilities (W80),1947.0,53-0116145,501(c)(6),VA,,0.0,0.0,221 Utilities,"4301 Wilson Blvd  / Arlington, VA 22203 / NRECA.COOP",NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,1.0,1.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,464.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2887,Promotion of Business (Chambers of Commerce) (S41),2003.0,52-2328209,501(c)(6),OK,,0.0,0.0,813910 Business Associations,"2313 N Broadway Ave  / Ada, OK 74820 / WWW.nswa.us/",NATIONAL STRIPPER WELL ASSOCIATION,1.0,1.0,NATIONAL STRIPPER WELL ASSOCIATION,NATIONAL STRIPPER WELL ASSOCIATION,12.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,964,"Public Finance, Taxation, Monetary Policy (W22)/ Research Institutes and/or Public Policy Analysis (W05)",1978.0,52-1122683,501(c)(3),DC,,0.0,1.0,813410 Civic and Social Organizations,"25 Massachusetts Avenue, NW Suite 140 / Washington, DC 20001 USA/                             Mr. Patrick  Gallivan                           /                                 Primary Contact Phone: (703) 683-5700                              / pgallivan@ntu.org/ www.ntu.org/                                 Main Office Phone: (703) 683-5700",NATIONAL TAXPAYERS UNION FOUNDATION,0.0,1.0,NATIONAL TAXPAYERS UNION FOUNDATION,NATIONAL TAXPAYERS UNION FOUNDATION,
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,2541,"Government and Public Administration (W20)/ Civil Rights, Advocacy for Specific Groups (R20)",1977.0,52-1009116,501(c)(4),DC,,0.0,1.0,813410 Civic and Social Organizations,"25 Massachusetts Avenue, NW Suite 140 / Washington, DC 20001 USA/                              Patrick  Gallivan                           /                                 Primary Contact Phone: (703) 683-5700                              / pgallivan@ntu.org/ www.ntu.org/                                 Main Office Phone: (703) 683-5700",NATIONAL TAXPAYERS UNION,0.0,1.0,NATIONAL TAXPAYERS UNION,NATIONAL TAXPAYERS UNION,4985.0
,False,2813,Unknown (Z99),1997.0,88-0276314,501(c)(3),NV,,1.0,1.0,,"7130 Placid Street  / Las Vegas, NV 89119 USA/                             Mr. John  Tsarpalas                           /                                 Primary Contact Phone: (702) 222-0642                              / jt@npri.org/ President/ www.npri.org/                                 Main Office Phone: (702) 222-0642",NEVADA POLICY RESEARCH INSTITUTE,0.0,1.0,NEVADA POLICY RESEARCH INSTITUTE,NEVADA POLICY RESEARCH INSTITUTE,3660.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,3705,Business and Industry (S40),1954.0,31-4363514,501(c)(6),OH,,1.0,0.0,813910 Business Associations,"88 E Broad St Ste 1400  / Columbus, OH 43215 / WWW.OOGA.ORG",OHIO OIL & GAS ASSOCIATION,1.0,1.0,OHIO OIL & GAS ASSOCIATION,OHIO OIL & GAS ASSOCIATION,839.0
"8399 SOCIAL SERVICES, NEC",True,3599,Single Organization Support (B11),2006.0,20-4707442,501(c)(3),OK,PETROLEUM ALLIANCE OF OKLAHOMA THE,0.0,0.0,813219 Other Grantmaking and Giving Services,"500 NE 4th St # 200  Oklahoma City OK 73104-4043/ Oklahoma City, OK 73104 / N/A",OKLAHOMA ENERGY EDUCATION FOUNDATION,1.0,1.0,OKLAHOMA ENERGY EDUCATION FOUNDATION,PETROLEUM ALLIANCE OF OKLAHOMA THE,
8322 INDIVIDUAL AND FAMILY SERVICES,False,2432,Disaster Preparedness and Relief Services (M20),1998.0,73-1436375,501(c)(3),OK,,1.0,0.0,624230 Emergency and Other Relief Services,"1401 N Lincoln Blvd  / Oklahoma City, OK 73104 / WWW.OCPATHINK.ORG",OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,1.0,1.0,OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,2776.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,1583,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Research Institutes and/or Public Policy Analysis (W05)",1978.0,94-2528433,501(c)(3),CA,,1.0,0.0,813410 Civic and Social Organizations,"P.O. Box 60485  / Pasadena, CA 91116 USA/                             Ms. Sally C Pipes                           /                                 Primary Contact Phone: (415) 989-0833                              / sallypipes@pacificresearch.org/ President and CEO/ http://www.pacificresearch.org/ P.O. Box 60485  / Pasadena, CA 91116",PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,1.0,1.0,PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,5753.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,552,Promotion of Business (Chambers of Commerce) (S41),1957.0,73-0667344,501(c)(6),OK,PETROLEUM ALLIANCE OF OKLAHOMA THE,0.0,0.0,813910 Business Associations,"500 NE 4th St Ste 200  / Oklahoma City, OK 73104",PETROLEUM ALLIANCE OF OKLAHOMA THE,1.0,1.0,PETROLEUM ALLIANCE OF OKLAHOMA THE,PETROLEUM ALLIANCE OF OKLAHOMA THE,22.0
,True,2822,Unknown (Z99),2009.0,27-0383509,501(c)(3),TX,,1.0,0.0,,"601 Jefferson St Ste 3600  / Houston, TX 77002 / www.plantsneedco2.org",PLANTS NEED CO2,1.0,1.0,PLANTS NEED CO2,PLANTS NEED CO2,38.0
,True,909,,,82-2785231,501(c)(4),,,0.0,0.0,,,POWER THE FUTURE,1.0,1.0,POWER THE FUTURE,POWER THE FUTURE,1119.0
"8399 Social Services, NEC",False,89,Single Organization Support (B11),2010.0,27-1763901,501(c)(3),CA,,1.0,0.0,813219 Other Grantmaking and Giving Services,"15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403 USA/                              Laurie  Dorr                           /                                 Primary Contact Phone: (323) 577-2437                              / lauried@prageru.org/ www.prageru.com/                                 Main Office Phone: (323) 577-2437                              / 15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403 / 15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403",PRAGERU (PRAGER UNIVERSITY),1.0,1.0,PRAGERU (PRAGER UNIVERSITY),PRAGERU (PRAGER UNIVERSITY),464.0
"8399 SOCIAL SERVICES, NEC/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,261,"Natural Resource Conservation and Protection (C30)/ Environmental Quality, Protection, and Beautification N.E.C. (C99)/ Economics (as a Social Science) (V22)",1981.0,81-0393444,501(c)(3),MT,,1.0,0.0,"813312 Environment, Conservation and Wildlife Organizations","2048 Analysis Drive Suite A / Bozeman, MT 59718 USA/                             Mr. Brian  Yablonski                           /                                 Primary Contact Phone: (406) 587-9591                              / perc@perc.org/ Executive Director/ www.perc.org/                                 Main Office Phone: (406) 5879591                              / 2048 Analysis Drive Suite A / Bozeman, MT 59718 / 2048 Analysis Drive Suite A / Bozeman, MT 59718 / 2048 Analysis Drive, Suite A / Bozeman MT 59718/ International Tel: 1 4065879591",PROPERTY AND ENVIRONMENT RESEARCH CENTER,1.0,1.0,PROPERTY AND ENVIRONMENT RESEARCH CENTER,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2579.0
,False,1866,,,20-2745037,501(c)(6),,,0.0,0.0,,,PULP AND PAPERWORKERS' RESOURCE COUNCIL,1.0,1.0,PULP AND PAPERWORKERS' RESOURCE COUNCIL,PULP AND PAPERWORKERS' RESOURCE COUNCIL,16.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2526,Research Institutes and/or Public Policy Analysis (B05),2009.0,26-3477125,501(c)(3),DC,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1212 New York Ave NW Suite 900  / Washington, DC 20005 USA/                              Eli  Lehrer                           /                                 Primary Contact Phone: (202) 525-5717                              / elehrer@rstreet.org/ President/ www.rstreet.org/                                 Main Office Phone: (202) 525-5717                              / 1212 New York Ave NW Suite 900  / Washington, DC 20005 / 1212 New York Ave NW Suite 900  / Washington, DC 20005",R STREET INSTITUTE,1.0,1.0,R STREET INSTITUTE,R STREET INSTITUTE,6722.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1428,"Research Institutes and/or Public Policy Analysis (W05)/ Media, Communications Organizations (A30)/ Research Institutes and/or Public Policy Analysis (B05)",1979.0,95-3298239,501(c)(3),CA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"5737 Mesmer Avenue  / Los Angeles, CA 90230 USA/                              Chris  Mitchell                           /                                 Primary Contact Phone: (310) 367-6109                              / chris.mitchell@reason.org/ Director of Communications/ http://www.reason.org/                                 Main Office Phone: (310) 391-2245                              / 5737 Mesmer Avenue  / Los Angeles, CA 90230 / 5737 Mesmer Avenue  / Los Angeles, CA 90230",REASON FOUNDATION THE,1.0,1.0,REASON FOUNDATION THE,REASON FOUNDATION THE,13032.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,2931,Citizen Participation (W24),2012.0,45-2805369,501(c)(3),RI,,1.0,0.0,813410 Civic and Social Organizations,"PO Box 10069  / Cranston, RI 02910 / www.rifreedom.org",RHODE ISLAND CENTER FOR FREEDOM AND PROSPERITY,1.0,1.0,RHODE ISLAND CENTER FOR FREEDOM AND PROSPERITY,RHODE ISLAND CENTER FOR FREEDOM AND PROSPERITY,729.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,1740,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",2000.0,47-4610810,501(c)(3),NM,,1.0,0.0,813410 Civic and Social Organizations,"PO Box 40336  / Albuquerque, NM 87196 USA/                             Mr. Paul  Gessing                           /                                 Primary Contact Phone: (505) 264-6090                              / pgessing@riograndefoundation.org/ President/ https://riograndefoundation.org/                                 Main Office Phone: (505) 264-6090                              / 4301 The 25 Way NE, Suite B  / Albuquerque, NM 87109 / PO Box 40336  / Albuquerque, NM 87196",RIO GRANDE FOUNDATION,1.0,1.0,RIO GRANDE FOUNDATION,RIO GRANDE FOUNDATION,797.0
,False,1980,,,82-4651816,501(c)(3),,,1.0,0.0,,,ROUGHRIDER POLICY CENTER,1.0,1.0,ROUGHRIDER POLICY CENTER,ROUGHRIDER POLICY CENTER,9.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,True,2569,"Social Science Research Institutes, Services N.E.C. (V99)",1994.0,54-1645372,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"PO Box 1126  / Springfield, VA 22151 / www.sepp.org",SCIENCE AND ENVIRONMENTAL POLICY PROJECT,1.0,1.0,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,353.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,311,Research Institutes and/or Public Policy Analysis (V05)/ Economics (as a Social Science) (V22)/ Research Institutes and/or Public Policy Analysis (W05),2005.0,20-1957878,501(c)(3),MO,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"5297 Washington Place  / Saint Louis, MO 63108 USA/                              Christina  Gibson                           /                                 Primary Contact Phone: (314) 454-0647                              / christina.gibson@showmeinstitute.org/ Executive Assistant/ http://www.showmeinstitute.org/                                 Main Office Phone: (314) 454-0647                              / 5297 Washington Place  / Saint Louis, MO 63108 / 5297 Washington Place  / Saint Louis, MO 63108",SHOW-ME INSTITUTE,1.0,1.0,SHOW-ME INSTITUTE,SHOW-ME INSTITUTE,6225.0
"8748 BUSINESS CONSULTING, NEC",False,3564,Management Services for Small Business/Entrepreneurs (S43),1993.0,36-3756240,501(c)(4),VA,,1.0,0.0,541618 Other Management Consulting Services,"301 Maple Ave W Ste 690  / Vienna, VA 22180 / www.sbecouncil.org",SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,1.0,1.0,SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,5517.0
