org,crp_code,crp_cat1,crp_cat2
WILLIAM BLAIR AND COMPANY,F2300,INVESTMENT BANKING,"FINANCE, INSURANCE, AND REAL ESTATE"
WILLIAM T GRANT FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
WINDQUEST GROUP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
WITHERSPOON INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
WOLF TRAP FOUNDATION OF THE PERFORMING ARTS,X4100,NON-PROFIT FOUNDATIONS,OTHER
Wood Mackenzie,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
WORLD ENTREPRENEURSHIP FORUM,X8000,INTERNATIONAL ASSOCIATIONS,OTHER
YOUNG AMERICA'S FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
Young Voices,X4000,NON-PROFITS ,OTHER
ZEPHYR MANAGEMENT LP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
