ein,name,position,year,org
53-0116145,Ronald Schwartau,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Lanny Rodgers,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Galen Mills,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Martin Anderson,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Gail Paine,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Curtis Nolan,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,James Springs,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Thomas Madsen,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Jerry Palmer,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Vernon Brinkley,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Ronald Osterhout,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Curtis Wynn,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Guadalupe Vega,Board Member,2007,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Glenn L English,Exec Director/CEO,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Patrick E Groffre,Vice President,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Martin Lowery,Vice President,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Clarence Keller,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Galen Mills,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Perry Rubart,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Gregg Gardiner,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Donald Link,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Robert Kretzschmar,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Gail Paine,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Curtis Nolan,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Lanny Rodgers,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Milo Gilbertson,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Thomas Madsen,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Ronald Osterhout,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Larry Elkins,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Ronald Schwartau,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Nancy Moyle,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Darrell Powell,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Jeffrey Edwards,Board Member,2006,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Glenn L English,Exec Director/CEO,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Patrick E Gioffre,Vice President,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Martin Lowery,Vice President,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Gregg Gardiner,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Galen Mills,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Perry Rubart,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Milo Gilbertson,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Clarence Keller,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Robert Kretzschmar,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Gail Paine,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Donald Link,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Elmer Sams,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,James Springs,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Thomas Madsen,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Jean McKinney,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,F E Wolski,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,"James Dean, III",Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Ryall Stewart,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,LaDon M Torgersen,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Larry Elkins,Board Member,2005,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Glenn L English,CEO,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Patrick E Gioffre,"Exec VP, Int.",2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Martin Lowery,"Exec VP, Ext.",2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Michael Treadwell,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Guadalupe Vega,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Edward Garcia,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mrs. Nancy Moyle,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Angus Hastings,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Med Coleman,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Carl Widdowson,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Max Dacis,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mrs. Gail Paine,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Donald Link,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Jerry Palmer,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Donald Shaw,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Joe Webb,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Clarence Keller,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Ronald Bergh,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Ronald Schwartau,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
53-0116145,Mr. Darrell Powell,Board,2004,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION
81-4138103,MATTHEW KANDRACH,PRESIDENT/TREASURER,2018,CONSUMER ACTION FOR A STRONG ECONOMY
81-4138103,GERALD SCIMECA,VICE PRESIDENT/SECRETARY,2018,CONSUMER ACTION FOR A STRONG ECONOMY
81-4138103,ALLEN MILLER,DIRECTOR,2018,CONSUMER ACTION FOR A STRONG ECONOMY
81-4138103,MATTHEW KANDRACH,PRESIDENT/TREASURER,2017,CONSUMER ACTION FOR A STRONG ECONOMY
81-4138103,GERALD SCIMECA,VICE PRESIDENT/SECRETARY,2017,CONSUMER ACTION FOR A STRONG ECONOMY
81-4138103,ALLEN MILLER,DIRECTOR,2017,CONSUMER ACTION FOR A STRONG ECONOMY
36-3309812,JOSEPH BAST,DIRECTOR/SENIOR FELLOW,2018,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,DANIEL HALES,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2018,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,CHAIRMAN,2018,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,HARLEY MOODY,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,HILLARY TILL,DIRECTOR,2018,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,DIRECTOR/SENIOR FELLOW,2017,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,DANIEL HALES,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2017,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,CHAIRMAN,2017,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2017,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,HARLEY MOODY,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,ARTHUR B. ROBINSON,DIRECTOR,2017,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT/CEO,2016,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,ASSISTANT SECRETARY,2016,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2016,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2016,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2016,HEARTLAND INSTITUTE
36-3309812,HARLEY MOODY,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,ARTHUR B. ROBINSON,DIRECTOR,2016,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT/CEO,2015,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2015,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2015,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,ASSISTANT SECRETARY,2015,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2015,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2015,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,DIRECTOR,2015,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2015,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2015,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2015,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2014,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,ASSISTANT SECRETARY,2014,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,JEFF JUDSON,FIRST VICE PRESIDENT,2014,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2014,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2014,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,JEFFREY MCKINLEY,DIRECTOR,2014,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2014,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2013,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,JEFF JUDSON,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,"FIRST VP, TREASURER",2013,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2013,HEARTLAND INSTITUTE
36-3309812,BRIAN SINGER,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,JEFFREY MCKINLEY,DIRECTOR,2013,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2013,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2012,HEARTLAND INSTITUTE
36-3309812,WILLIAM ARMISTEAD,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,JERE FABICK,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,CHUCK LANG,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,JEFF JUDSON,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2012,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,SECRETARY,2012,HEARTLAND INSTITUTE
36-3309812,ARTHUR MARGULIS,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,JEFFREY MCKINLEY,DIRECTOR,2012,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2012,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2011,HEARTLAND INSTITUTE
36-3309812,ROBERT LAMENDOLA,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,VICE PRESIDENT,2011,HEARTLAND INSTITUTE
36-3309812,RICHARD H. COLLINS,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,JEFF JUDSON,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,TREASURER,2011,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,ASSISTANT SECRETARY,2011,HEARTLAND INSTITUTE
36-3309812,ARTHUR MARGULIS,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,MIKE ROSE,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2011,HEARTLAND INSTITUTE
36-3309812,HARRISON SCHMITT,DIRECTOR,2011,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2010,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,VICE PRESIDENT,2010,HEARTLAND INSTITUTE
36-3309812,RICHARD H. COLLINS,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,JEFF JUDSON,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,"FIRST VP, TREASURER",2010,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,ASSISTANT SECRETARY,2010,HEARTLAND INSTITUTE
36-3309812,ARTHUR MARGULIS,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,SECRETARY,2010,HEARTLAND INSTITUTE
36-3309812,MIKE ROSE,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2010,HEARTLAND INSTITUTE
36-3309812,HARRISON SCHMITT,DIRECTOR,2010,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2009,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,ARTHUR MARGULIS,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,ELIZABTH ROSE,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,DIRECTOR,2009,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2008,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,JEFFREY MADDEN,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,ARTHUR MARGULIS,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,FRANK RESNIK,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,ELIZABETH ROSE,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2008,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2007,HEARTLAND INSTITUTE
36-3309812,DIANE C. BAST,VICE PRESIDENT,2007,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2007,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,BIJU GEORGE KULATHAKAL,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,FRANK RESNIK,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,ELIZABETH ROSE,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,DAN HALES,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,ROY MARDEN,DIRECTOR,2007,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2006,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2006,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSON,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,ELIZABETH ROSE,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,ROY MARDEN,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,HEAD OF REAL ESTATE,2006,HEARTLAND INSTITUTE
36-3309812,BIJU GEORGE KULATHAKAL,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,DAN HALES,ATTORNEY,2006,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,FRANK RESNIK,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,MANAGING DIRECTOR,2006,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2005,HEARTLAND INSTITUTE
36-3309812,ROY MARDEN,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,PAUL FISHER,HEAD OF REAL ESTATE,2005,HEARTLAND INSTITUTE
36-3309812,RAJEEV BAL,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,HERBERT WALBERG,CHAIRMAN,2005,HEARTLAND INSTITUTE
36-3309812,BIJU GEORGE KULATHAKAL,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,WALTER BUCHHOLTZ,GOVT RELATIONS ADVISOR,2005,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,MANAGING DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,DAN HALES,ATTORNEY,2005,HEARTLAND INSTITUTE
36-3309812,JAMES JOHNSTON,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,FRANK RESNIK,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,ELIZABETH ROSE,DIRECTOR,2005,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2004,HEARTLAND INSTITUTE
36-3309812,WALTER BUCHHOLTZ,GOVT RELATIONS ADVISOR,2004,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,ROBERT BUFORD,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Frank Resnik,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,James G. Fitzgeraid,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,PAUL FISCHER,HEAD OF REAL ESTATE,2004,HEARTLAND INSTITUTE
36-3309812,Rajeev Bal,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Roy E. Marden,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,DAN HALES,ATTORNEY,2004,HEARTLAND INSTITUTE
36-3309812,DAVID PADDEN,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,JAMES FITZGERALD,MANAGING DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,William Higginson,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,LEE WALKER,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,LESLIE ROSE,DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Dan Hales,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Leslie Rose,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Waiter F. Buchholtz,BOARD OF DIRECTOR,2004,HEARTLAND INSTITUTE
36-3309812,Joseph Bast,President,2004,HEARTLAND INSTITUTE
36-3309812,JOSEPH BAST,PRESIDENT,2003,HEARTLAND INSTITUTE
36-3309812,ROY MARDEN,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,Paul E. Fisher,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,DAN HALES,ATTORNEY,2003,HEARTLAND INSTITUTE
36-3309812,Roy E. Marden,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,Lee Tooman,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,WILLIAM HIGGINSON,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,FRANK RESNIK,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,THOMAS WALTON,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,Walter F. Buchholtz,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,James G. Fitzgerald,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,LESLIE ROSE,DIRECTOR,2003,HEARTLAND INSTITUTE
36-3309812,LEE WALKER,DIRECTOR,2003,HEARTLAND INSTITUTE
