org,nonprofit_type,ein,sole_climate_energy,state,controlling_entity,ruling_year,address,ntee_code,naics_code,sic_code,guidestar_keywords,notes,substantive_focus,peripheral_focus,delay,denial,id,alliance_for_energy_&_economic_growth,alliance_to_save_energy,cooler_heads_coalition,spn
LINCOLN INSTITUTION OF PUBLIC OPINION RESEARCH,501(c)(3),251704705,False,PA,,1993.0,"5405 Jonestown Rd Ste 110  / Harrisburg, PA 17112 / WWW.LINCOLNINSTITUTE.ORG","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,0,1,1,0,127,0,0,0,0
MACIVER INSTITUTE FOR PUBLIC POLICY,501(c)(3),262639114,False,WI,,2008.0,"10 E Doty St Ste 800  / Madison, WI 53703 / WWW.MACIVERINSTITUTE.COM","Public Finance, Taxation, Monetary Policy (W22)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,0,1,1,1,1162,0,0,0,1
MACKINAC CENTER FOR PUBLIC POLICY,501(c)(3),382701547,False,MI,,1988.0,"140 West Main Street, P.O. Box 568  / Midland, MI 48640-0568 USA/                             Mr. Joseph G Lehman                           /                                 Primary Contact Phone: (989) 631-0900                              / lehman@mackinac.org/ President/ www.mackinac.org/                                 Main Office Phone: (989) 631-0900                              / 140 West Main Street  / Midland, MI 48640 / 140 West Main Street, P.O. Box 568  / Midland, MI 48640-0568 ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,Public Policy Research and Analysis,,1,0,1,1,8,0,0,0,1
MANHATTAN INSTITUTE FOR POLICY RESEARCH,501(c)(3),132912529,False,NY,,1977.0,"52 Vanderbilt Ave  New York NY 10017-3808/ New York, NY 10017 / MANHATTAN-INSTITUTE.ORG",Government and Public Administration (W20),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,3370,0,0,0,2
MEDIA RESEARCH CENTER,501(c)(3),541429009,False,VA,,1988.0,"1900 Campus Commons Drive Suite 600 / Reston, VA 20191 USA/                             Mr. Coley  Jackson                           /                                 Primary Contact Phone: (571) 267-3500                              / cjackson@mrc.org/ Vice President of Development/ https://www.mrc.org//                                 Main Office Phone: (571) 267-3500                              / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 ",Research Institutes and/or Public Policy Analysis (A05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Media Bias,  Brent Bozell,  Media Research,  Media Center,  Watchdog,  Family,  USA",,1,0,1,1,1157,0,0,0,0
MERCATUS CENTER GEORGE MASON UNIVERSITY,501(c)(3),541436224,False,VA,,1988.0,"3434 Washington Blvd 4th Floor / Arlington, VA 22201 USA/                             Mr. Gary  Leff                           /                                 Primary Contact Phone: (703) 993-4930                              / gleff@mercatus.gmu.edu/ Chief Financial Officer/ http://www.mercatus.org/                                 Main Office Phone: (703) 993-4930                              / 3301 N Fairfax Dr Suite 450  / Arlington, VA 22201 ",Economics (as a Social Science) (V22),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"freedom,  economics,  Mercatus,  market. Free,  research,  university",,1,0,1,0,1401,0,0,0,2
NATIONAL ASSOCIATION OF HOMEBUILDERS,501(c)(6),880359303,False,,,,,,,,,,1,0,1,0,726,0,0,0,0
NATIONAL ASSOCIATION OF MANUFACTURERS,501(c)(6),131084330,False,DC,,1938.0,"733 10th St NW Ste 700  / Washington, DC 20001 / WWW.NAM.ORG",Alliance/Advocacy Organizations (J01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",,,1,0,1,0,587,1,0,0,0
NATIONAL ASSOCIATION OF SCHOLARS,501(c)(3),112741490,False,NY,,1991.0,"420 Madison Ave. 7th Floor / New York, NY 10017 USA/                             Mr. Chance  Layton                           /                                 Primary Contact Phone: (917) 551-6770                              / layton@nas.org/ Communication Coordinator/ www.nas.org/                                 Main Office Phone: (917) 551-6770                              / 420 Madison Ave. 7th Floor / New York, NY 10017 / 420 Madison Ave. 7th Floor / New York, NY 10017 / 420 Madison Ave 7th Floor/ New York  10017/ International Tel:  ",Higher Education Institutions (B40),"611310 Colleges, Universities, and Professional Schools",8221 Colleges and Universities,"Higher Education reform,  promote traditional liberal arts and academic freedom",,1,0,1,1,1036,0,0,0,0
NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,501(c)(3),521226614,False,DC,,1988.0,"20 F St NW Ste 700  / Washington, DC 20001 / WWW.NATIONALCENTER.ORG",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,1750,0,0,1,0
NATIONAL LEGAL & POLICY CENTER,501(c)(3),521750188,False,VA,,1992.0,"107 Park Washington Ct  / Falls Church, VA 22046 /                             Mr. Peter  Flaherty                           /                                 Primary Contact Phone: (703) 2371970                              / pflaherty@nlpc.org/ President/ http://www.nlpc.org","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public Interest Law/Litigation (I83)/ Labor Studies (V37)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","conservative,  libertarian,  free market,  unions,  legal services,  campaign finance,  corruption,  ethics,  Heritage,  CATO",,1,0,1,1,2332,0,0,0,0
NATIONAL MINING ASSOCIATION,501(c)(6),521916480,False,DC,,1997.0,"101 Constitution Ave NW Ste 500e  / Washington, DC 20001 / WWW.NMA.ORG","Professional Societies, Associations (U03)",813920 Professional Organizations,8621 Professional Organizations,,,1,0,1,0,3700,1,0,0,0
NATIONAL REVIEW INSTITUTE,501(c)(3),133649537,False,NY,,1992.0,"19 W 44TH ST STE 1701  / NEW YORK, NY 10036 USA/                              Lindsay  Craig                           /                                 Primary Contact Phone: (212) 849-2820                              / lcraig@nrinstitute.org/ President/ http://nrinstitute.org/                                 Main Office Phone: (212) 849-2806                              / 19 W 44TH ST STE 1701  / NEW YORK, NY 10036 ",Unknown (Z99),,,"Non-Profit,  Conservative,  Think-Tank,  Journalism,  Free Society,  Liberty,  Culture,  Religion",,1,0,1,1,2731,0,0,0,2
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,501(c)(6),530116145,True,VA,,1947.0,"4301 Wilson Blvd  / Arlington, VA 22203 / NRECA.COOP",Public Utilities (W80),221 Utilities,,,,1,0,1,0,1534,0,1,0,0
NATIONAL STRIPPER WELL ASSOCIATION,501(c)(6),522328209,True,OK,,2003.0,"2313 N Broadway Ave  / Ada, OK 74820 / WWW.nswa.us/",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,2887,0,0,0,0
NATIONAL TAXPAYERS UNION FOUNDATION,501(c)(3),521122683,False,DC,,1978.0,"25 Massachusetts Avenue, NW Suite 140 / Washington, DC 20001 USA/                             Mr. Patrick  Gallivan                           /                                 Primary Contact Phone: (703) 683-5700                              / pgallivan@ntu.org/ www.ntu.org/                                 Main Office Phone: (703) 683-5700                              ","Public Finance, Taxation, Monetary Policy (W22)/ Research Institutes and/or Public Policy Analysis (W05)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","tax,  taxes,  taxpayers,  non-profit,  lobbyist,  foundation,  think tank,  National Taxpayers Union Foundation",,0,1,1,0,964,0,0,0,2
NATIONAL TAXPAYERS UNION,501(c)(4),521009116,False,DC,,1977.0,"25 Massachusetts Avenue, NW Suite 140 / Washington, DC 20001 USA/                              Patrick  Gallivan                           /                                 Primary Contact Phone: (703) 683-5700                              / pgallivan@ntu.org/ www.ntu.org/                                 Main Office Phone: (703) 683-5700                              ","Government and Public Administration (W20)/ Civil Rights, Advocacy for Specific Groups (R20)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","Advocacy,  Lobbying",,0,1,1,0,2541,0,0,0,0
NEVADA POLICY RESEARCH INSTITUTE,501(c)(3),880276314,False,NV,,1997.0,"7130 Placid Street  / Las Vegas, NV 89119 USA/                             Mr. John  Tsarpalas                           /                                 Primary Contact Phone: (702) 222-0642                              / jt@npri.org/ President/ www.npri.org/                                 Main Office Phone: (702) 222-0642                              ",Unknown (Z99),,,Free market think tank,,0,1,1,1,2813,0,0,0,1
OHIO OIL & GAS ASSOCIATION,501(c)(6),314363514,True,OH,,1954.0,"88 E Broad St Ste 1400  / Columbus, OH 43215 / WWW.OOGA.ORG",Business and Industry (S40),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,3705,0,0,0,0
OKLAHOMA ENERGY EDUCATION FOUNDATION,501(c)(3),204707442,True,OK,PETROLEUM ALLIANCE OF OKLAHOMA THE,2006.0,"500 NE 4th St # 200  Oklahoma City OK 73104-4043/ Oklahoma City, OK 73104 / N/A",Single Organization Support (B11),813219 Other Grantmaking and Giving Services,"8399 SOCIAL SERVICES, NEC",,,1,0,1,0,3599,0,0,0,0
OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,501(c)(3),731436375,False,OK,,1998.0,"1401 N Lincoln Blvd  / Oklahoma City, OK 73104 / WWW.OCPATHINK.ORG",Disaster Preparedness and Relief Services (M20),624230 Emergency and Other Relief Services,8322 INDIVIDUAL AND FAMILY SERVICES,,,1,0,1,1,2432,0,0,0,1
PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,501(c)(3),942528433,False,CA,,1978.0,"P.O. Box 60485  / Pasadena, CA 91116 USA/                             Ms. Sally C Pipes                           /                                 Primary Contact Phone: (415) 989-0833                              / sallypipes@pacificresearch.org/ President and CEO/ http://www.pacificresearch.org/ P.O. Box 60485  / Pasadena, CA 91116 ","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Research Institutes and/or Public Policy Analysis (W05)",813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC","individual freedom,  personal responsibility,  free economy,  free market,  private initiative",,1,0,1,1,1583,0,0,0,1
PETROLEUM ALLIANCE OF OKLAHOMA THE,501(c)(6),730667344,True,OK,PETROLEUM ALLIANCE OF OKLAHOMA THE,1957.0,"500 NE 4th St Ste 200  / Oklahoma City, OK 73104",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,552,0,0,0,0
PLANTS NEED CO2,501(c)(3),270383509,True,TX,,2009.0,"601 Jefferson St Ste 3600  / Houston, TX 77002 / www.plantsneedco2.org",Unknown (Z99),,,,,1,0,1,1,2822,0,0,0,0
POWER THE FUTURE,501(c)(4),822785231,True,,,,,,,,,,1,0,1,0,909,0,0,0,0
PRAGERU (PRAGER UNIVERSITY),501(c)(3),271763901,False,CA,,2010.0,"15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403 USA/                              Laurie  Dorr                           /                                 Primary Contact Phone: (323) 577-2437                              / lauried@prageru.org/ www.prageru.com/                                 Main Office Phone: (323) 577-2437                              / 15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403 / 15021 Ventura Blvd. #552  / Sherman Oaks, CA 91403 ",Single Organization Support (B11),813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC","Education,  digital media",,1,0,1,1,89,0,0,0,0
PROPERTY AND ENVIRONMENT RESEARCH CENTER,501(c)(3),810393444,True,MT,,1981.0,"2048 Analysis Drive Suite A / Bozeman, MT 59718 USA/                             Mr. Brian  Yablonski                           /                                 Primary Contact Phone: (406) 587-9591                              / perc@perc.org/ Executive Director/ www.perc.org/                                 Main Office Phone: (406) 5879591                              / 2048 Analysis Drive Suite A / Bozeman, MT 59718 / 2048 Analysis Drive Suite A / Bozeman, MT 59718 / 2048 Analysis Drive, Suite A / Bozeman MT 59718/ International Tel: 1 4065879591","Natural Resource Conservation and Protection (C30)/ Environmental Quality, Protection, and Beautification N.E.C. (C99)/ Economics (as a Social Science) (V22)","813312 Environment, Conservation and Wildlife Organizations","8399 SOCIAL SERVICES, NEC/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","environment, markets, property, property rights, contracts, natural resources, conservation",,1,0,1,1,261,0,0,0,2
PULP AND PAPERWORKERS' RESOURCE COUNCIL,501(c)(6),202745037,False,,,,,,,,,,1,0,1,0,1866,0,0,0,0
R STREET INSTITUTE,501(c)(3),263477125,False,DC,,2009.0,"1212 New York Ave NW Suite 900  / Washington, DC 20005 USA/                              Eli  Lehrer                           /                                 Primary Contact Phone: (202) 525-5717                              / elehrer@rstreet.org/ President/ www.rstreet.org/                                 Main Office Phone: (202) 525-5717                              / 1212 New York Ave NW Suite 900  / Washington, DC 20005 / 1212 New York Ave NW Suite 900  / Washington, DC 20005 ",Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Free Market,  Policy,  Energy,  Environment,  Insurance",,1,0,1,0,2526,0,0,0,2
REASON FOUNDATION THE,501(c)(3),953298239,False,CA,,1979.0,"5737 Mesmer Avenue  / Los Angeles, CA 90230 USA/                              Chris  Mitchell                           /                                 Primary Contact Phone: (310) 367-6109                              / chris.mitchell@reason.org/ Director of Communications/ http://www.reason.org/                                 Main Office Phone: (310) 391-2245                              / 5737 Mesmer Avenue  / Los Angeles, CA 90230 / 5737 Mesmer Avenue  / Los Angeles, CA 90230 ","Research Institutes and/or Public Policy Analysis (W05)/ Media, Communications Organizations (A30)/ Research Institutes and/or Public Policy Analysis (B05)",541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"libertarian,  public policy,  think tank,  liberty,  limited government,  government reform,  drug policy,  freedom,  journalism,  pension reform,  school choice,  privatization",,1,0,1,1,1428,0,0,0,2
RHODE ISLAND CENTER FOR FREEDOM AND PROSPERITY,501(c)(3),452805369,False,RI,,2012.0,"PO Box 10069  / Cranston, RI 02910 / www.rifreedom.org",Citizen Participation (W24),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,2931,0,0,0,1
RIO GRANDE FOUNDATION,501(c)(3),474610810,False,NM,,2000.0,"PO Box 40336  / Albuquerque, NM 87196 USA/                             Mr. Paul  Gessing                           /                                 Primary Contact Phone: (505) 264-6090                              / pgessing@riograndefoundation.org/ President/ https://riograndefoundation.org/                                 Main Office Phone: (505) 264-6090                              / 4301 The 25 Way NE, Suite B  / Albuquerque, NM 87109 / PO Box 40336  / Albuquerque, NM 87196 ","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC","advocacy,  free market,  economics,  politics,  public policy",,1,0,1,1,1740,0,0,0,1
ROUGHRIDER POLICY CENTER,501(c)(3),824651816,False,,,,,,,,,,1,0,1,1,1980,0,0,0,1
SCIENCE AND ENVIRONMENTAL POLICY PROJECT,501(c)(3),541645372,True,VA,,1994.0,"PO Box 1126  / Springfield, VA 22151 / www.sepp.org","Social Science Research Institutes, Services N.E.C. (V99)",541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,,,1,0,1,1,2569,0,0,0,0
SHOW-ME INSTITUTE,501(c)(3),201957878,False,MO,,2005.0,"5297 Washington Place  / Saint Louis, MO 63108 USA/                              Christina  Gibson                           /                                 Primary Contact Phone: (314) 454-0647                              / christina.gibson@showmeinstitute.org/ Executive Assistant/ http://www.showmeinstitute.org/                                 Main Office Phone: (314) 454-0647                              / 5297 Washington Place  / Saint Louis, MO 63108 / 5297 Washington Place  / Saint Louis, MO 63108 ",Research Institutes and/or Public Policy Analysis (V05)/ Economics (as a Social Science) (V22)/ Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,Think tank,,1,0,1,0,311,0,0,0,1
SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,501(c)(4),363756240,False,VA,,1993.0,"301 Maple Ave W Ste 690  / Vienna, VA 22180 / www.sbecouncil.org",Management Services for Small Business/Entrepreneurs (S43),541618 Other Management Consulting Services,"8748 BUSINESS CONSULTING, NEC",,,1,0,1,1,3564,0,0,1,0
SOUTH CAROLINA POLICY COUNCIL,501(c)(3),570835744,False,SC,,1987.0,"1323 Pendleton St  / Columbia, SC 29201 USA/                             Ms. Ashley  Landess                           /                                 Primary Contact Phone: (803) 779-5022 Ext 102                              / ashleyl@scpolicycouncil.org/ President/ www.scpolicycouncil.com/                                 Main Office Phone: (803) 779-5022 Ext 102                              ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,0,1,1,0,2224,0,0,0,0
SOUTHEASTERN LEGAL FOUNDATION,501(c)(3),581247027,False,GA,,1976.0,"560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509 USA/                             Mr. Todd G Young                           /                                 Primary Contact Phone: (770) 977-2131                              / tyoung@southeasternlegal.org/ Executive Director/ www.slfliberty.org/                                 Main Office Phone: (770) 977-2131                              / 560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509 / 560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509 ",Research Institutes and/or Public Policy Analysis (R05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Limited Government,  Free Enterprise,  Property Rights,  Government Accountability",,1,0,1,1,826,0,0,0,0
STATE POLICY NETWORK,501(c)(3),570952531,False,VA,,1992.0,"1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209 USA/                              Meredith  Turney                           /                                 Primary Contact Phone: (703) 243-1655                              / turney@spn.org/ Senior Director of Leadership Development & Strategic Communications/ www.spn.org/                                 Main Office Phone: (703) 243-1655                              / 1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209 / 1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209 ",Research Institutes and/or Public Policy Analysis (S05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Free Market,  public policy,  education reform,  tax reform,  transparencey",,1,0,1,1,3818,0,0,0,1
STUDENT FREE PRESS ASSOCIATION,501(c)(3),272277658,False,MI,,2011.0,"4771 Mechanic Rd  / Hillsdale, MI 49242 / N/A","Scholarships, Student Financial Aid, Awards (B82)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,Parent organization of The College Fix,1,0,1,0,2882,0,0,0,0
TAXPAYERS PROTECTION ALLIANCE,501(c)(4),450702828,False,DC,,2011.0,"1401 K St NW Ste 502  / Washington, DC 20005 / WWW.PROTECTINGTAXPAYERS.ORG","Public Finance, Taxation, Monetary Policy (W22)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,478,0,0,0,0
TEXAS PUBLIC POLICY FOUNDATION,501(c)(3),742524057,False,TX,,1989.0,"901 Congress Avenue  / AUSTIN                , TX 78701 USA/                             Mr. Greg  Sindelar                           /                                 Primary Contact Phone: (512) 472-2700                              / administration@texaspolicy.com/ Chief Operating Officer/ www.texaspolicy.com/                                 Main Office Phone: (512) 472-2700                              ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Public Policy,  Research,  Analysis",,1,0,1,1,662,0,0,0,1
THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,501(c)(3),510280185,False,VA,,1985.0,"7011 Dreams Way Court  / Alexandria, VA 22315 USA/                             Mr. Christian  Braunlich                           /                                 Primary Contact Phone: (703) 440-9447                              / chris@thomasjeffersoninst.org/ President/ http://www.thomasjeffersoninst.org/                                 Main Office Phone: (703) 440-9447                              / 7011 Dreams Way Court  / Alexandria, VA 22315 / 7011 Dreams Way Court  / Alexandria, VA 22315 / 7011 Dreams Way Court / Alexandria VA 22315/ International Tel:  ","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC","Advocacy,  Tax and Fiscal Policy,  Education Policy Regulatory Reform",,1,0,1,1,1653,0,0,0,1
TRUTH IN ACCOUNTING,501(c)(3),352185292,False,IL,,2003.0,"118 N CLINTON ST STE 206  / CHICAGO, IL 60661 USA/                              Joan  Colmar                           /                                 Primary Contact Phone: (312) 589-5100                              / jcolmar@truthinaccounting.org/ President/ www.truthinaccounting.org/                                 Main Office Phone: (312) 589-5100                              / 118 N CLINTON ST STE 206  / CHICAGO, IL 60661 / 118 N CLINTON ST STE 206  / CHICAGO, IL 60661 ","Public Finance, Taxation, Monetary Policy (W22)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","accounting,  government finance,  transparency,  government accounting,  government watchdog",,0,1,1,0,3193,0,0,0,0
TURNING POINT USA,501(c)(3),800835023,False,AZ,,2014.0,"4940 East Beverly Road  / Phoenix, AZ 85044 USA/                             Ms. Emma J McCausland                           /                                 Primary Contact Phone: (480) 280-6178                              / emma@tpusa.com/ Advancement Administrative Manager/ https://www.tpusa.com//                                 Main Office Phone: (844) 872-1776                              / 4940 East Beverly Road  / Phoenix, AZ 85044 / 4940 East Beverly Road  / Phoenix, AZ 85044 ",Unknown (Z99),,,"advocacy,  education,  limited government",,1,0,1,1,3944,0,0,0,0
WASHINGTON LEGAL FOUNDATION,501(c)(3),521071570,False,DC,,1977.0,"2009 Massachusetts Ave NW  / Washington, DC 20036 USA/                             Mrs. Constance  Larcher                           /                                 Primary Contact Phone: (202) 588-0302                              / CLarcher@wlf.org/ President and Chief Executive Officer/ http://www.wlf.org","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Civil Liberties Advocacy (R60)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","Public Interest,  Litigation,  Publishing,   Free Enterprise,  Washington Legal Foundation,  class action,  commercial speech,  tort reform,  natiaonl security,  health care,  legal,  securities",,1,0,1,0,1252,0,0,0,0
WASHINGTON POLICY CENTER,501(c)(3),911752769,False,WA,,1997.0,"P.O. Box 3643  / Seattle, WA 98124 USA/                             Ms. Tashina  Kreilick                           /                                 Primary Contact Phone: (206) 9379691                              / tkreilick@washingtonpolicy.org/ Development Manager/ http://www.washingtonpolicy.org/                                 Main Office Phone: (206) 937-9691                              / 3404 4th Ave S.  / Seattle, WA 98134 / P.O. Box 3643  / Seattle, WA 98124 ","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Research Institutes and/or Public Policy Analysis (W05)/ Public Finance, Taxation, Monetary Policy (W22)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","government regulation,  taxation,  free market,  conservative,  limited government,  environment,  small business,  health care,  education,  government reform,  transportation,  healthcare",,1,0,1,0,3727,0,0,0,1
WEST VIRGINIA COAL ASSOCIATION,501(c)(6),550307050,True,WV,,1942.0,"PO Box 3923  / Charleston, WV 25339 / WWW.WVCOAL.COM",Labor Unions/Organizations (J40),813930 Labor Unions and Similar Labor Organizations,8631 LABOR ORGANIZATIONS,,,1,0,1,0,1137,0,0,0,0
WESTERN ENERGY ALLIANCE,501(c)(6),840700841,True,CO,,1974.0,"1775 N Sherman St Ste 2700  / Denver, CO 80203 / WWW.WESTERNENERGYALLIANCE.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,2856,0,0,0,0
WESTERN STATES PETROLEUM ASSOCIATION,501(c)(6),950596680,True,CA,,1942.0,"1415 L St  Sacramento CA 95814-3961/ Sacramento, CA 95814 / WWW.WSPA.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,3471,0,0,0,0
WYOMING LIBERTY GROUP,501(c)(3),262828115,False,WY,,2009.0,"1740 Dell Range Blvd Ste H # 459  / Cheyenne, WY 82009 / WWW.WYLIBERTY.ORG",Alliance/Advocacy Organizations (R01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",,,1,0,1,0,2962,0,0,0,1
YANKEE INSTITUTE FOR PUBLIC POLICY,501(c)(3),521358144,False,CT,,1985.0,"216 Main Street  / Hartford, CT 06106 USA/                             Mr. Matthew  Fox                           / matthew@yankeeinstitute.org/ Director of Operations/ www.yankeeinstitute.org/ 216 Main Street  / Hartford, CT 06106 ",Research Institutes and/or Public Policy Analysis (V05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Connecticut,  public policy,  think tank",,0,1,1,0,52,0,0,0,1
YOUNG AMERICA'S FOUNDATION,501(c)(3),237042029,False,VA,,1969.0,"National Headquarters 11480 Commerce Park Drive, Suite 600 / Reston, VA 20191 USA/                             Ms. Jessica  Jensen                           /                                 Primary Contact Phone: (703) 318-9608                              / jjensen@yaf.org/ Vice President & Chief of Staff/ http://www.yaf.org/                                 Main Office Phone: (703) 318-9608                              / National Headquarters 11480 Commerce Park Drive, Suite 600 / Reston, VA 20191 ",Other Youth Development N.E.C. (O99),624110 Child and Youth Services,8322 Individual and Family Services,"young conservatives,  journalism training,  Ronald Reagan,  Presidential Properties,  Reagan Ranch,  conservative,  right,  students,  conferences,  free speech",,1,0,1,1,2451,0,0,0,2
